glyph_name,ps_name,sort_final,sort_design
eight-kirat,u16D78,10057,10057
nine-kirat,u16D79,10058,10058
space,space,3,20003
exclam,exclam,4,20004
quotedbl,quotedbl,5,20005
numbersign,numbersign,6,20006
dollar,dollar,7,20007
percent,percent,8,20008
ampersand,ampersand,9,20009
quotesingle,quotesingle,10,20010
parenleft,parenleft,11,20011
parenright,parenright,12,20012
asterisk,asterisk,13,20013
plus,plus,14,20014
comma,comma,15,20015
hyphen,hyphen,16,20016
period,period,17,20017
slash,slash,18,20018
zero,zero,19,20019
one,one,20,20020
two,two,21,20021
three,three,22,20022
four,four,23,20023
five,five,24,20024
six,six,25,20025
seven,seven,26,20026
eight,eight,27,20027
nine,nine,28,20028
colon,colon,29,20029
semicolon,semicolon,30,20030
less,less,31,20031
equal,equal,32,20032
greater,greater,33,20033
question,question,34,20034
at,at,35,20035
A,A,36,20036
B,B,37,20037
C,C,38,20038
D,D,39,20039
E,E,40,20040
F,F,41,20041
G,G,42,20042
H,H,43,20043
I,I,44,20044
J,J,45,20045
K,K,46,20046
L,L,47,20047
M,M,48,20048
N,N,49,20049
O,O,50,20050
P,P,51,20051
Q,Q,52,20052
R,R,53,20053
S,S,54,20054
T,T,55,20055
U,U,56,20056
V,V,57,20057
W,W,58,20058
X,X,59,20059
Y,Y,60,20060
Z,Z,61,20061
bracketleft,bracketleft,62,20062
backslash,backslash,63,20063
bracketright,bracketright,64,20064
asciicircum,asciicircum,65,20065
underscore,underscore,66,20066
grave,grave,67,20067
a,a,68,20068
b,b,69,20069
c,c,70,20070
d,d,71,20071
e,e,72,20072
f,f,73,20073
g,g,74,20074
h,h,75,20075
i,i,76,20076
j,j,77,20077
k,k,78,20078
l,l,79,20079
m,m,80,20080
n,n,81,20081
o,o,82,20082
p,p,83,20083
q,q,84,20084
r,r,85,20085
s,s,86,20086
t,t,87,20087
u,u,88,20088
v,v,89,20089
w,w,90,20090
x,x,91,20091
y,y,92,20092
z,z,93,20093
braceleft,braceleft,94,20094
bar,bar,95,20095
braceright,braceright,96,20096
asciitilde,asciitilde,97,20097
Adieresis,Adieresis,98,20098
Aring,Aring,99,20099
Ccedilla,Ccedilla,100,20100
Eacute,Eacute,101,20101
Ntilde,Ntilde,102,20102
Odieresis,Odieresis,103,20103
Udieresis,Udieresis,104,20104
ccedilla,ccedilla,111,20111
eacute,eacute,112,20112
egrave,egrave,113,20113
ecircumflex,ecircumflex,114,20114
edieresis,edieresis,115,20115
iacute,iacute,116,20116
igrave,igrave,117,20117
icircumflex,icircumflex,118,20118
idieresis,idieresis,119,20119
ntilde,ntilde,120,20120
oacute,oacute,121,20121
ograve,ograve,122,20122
ocircumflex,ocircumflex,123,20123
odieresis,odieresis,124,20124
otilde,otilde,125,20125
uacute,uacute,126,20126
ugrave,ugrave,127,20127
ucircumflex,ucircumflex,128,20128
udieresis,udieresis,129,20129
dagger,dagger,130,20130
degree,degree,131,20131
cent,cent,132,20132
sterling,sterling,133,20133
section,section,134,20134
bullet,bullet,135,20135
paragraph,paragraph,136,20136
germandbls,germandbls,137,20137
registered,registered,138,20138
copyright,copyright,139,20139
trademark,trademark,140,20140
acute,acute,141,20141
dieresis,dieresis,142,20142
notequal,notequal,143,20143
AE,AE,144,20144
Oslash,Oslash,145,20145
infinity,infinity,146,20146
plusminus,plusminus,147,20147
lessequal,lessequal,148,20148
greaterequal,greaterequal,149,20149
yen,yen,150,20150
micro,uni00B5,151,20151
partialdiff,partialdiff,152,20152
summation,summation,153,20153
product,product,154,20154
pi,pi,155,20155
integral,integral,156,20156
ordfeminine,ordfeminine,157,20157
ordmasculine,ordmasculine,158,20158
Ohm,Omega,159,20159
ae,ae,160,20160
oslash,oslash,161,20161
questiondown,questiondown,162,20162
exclamdown,exclamdown,163,20163
logicalnot,logicalnot,164,20164
radical,radical,165,20165
florin,florin,166,20166
approxequal,approxequal,167,20167
Delta,Delta,168,20168
guillemetleft,guillemotleft,169,20169
guillemetright,guillemotright,170,20170
ellipsis,ellipsis,171,20171
nbspace,uni00A0,172,20172
Agrave,Agrave,173,20173
Atilde,Atilde,174,20174
Otilde,Otilde,175,20175
OE,OE,176,20176
oe,oe,177,20177
endash,endash,178,20178
emdash,emdash,179,20179
quotedblleft,quotedblleft,180,20180
quotedblright,quotedblright,181,20181
quoteleft,quoteleft,182,20182
quoteright,quoteright,183,20183
divide,divide,184,20184
lozenge,lozenge,185,20185
ydieresis,ydieresis,186,20186
Ydieresis,Ydieresis,187,20187
fraction,fraction,188,20188
currency,currency,189,20189
guilsinglleft,guilsinglleft,190,20190
guilsinglright,guilsinglright,191,20191
fi,fi,192,20192
fl,fl,193,20193
daggerdbl,daggerdbl,194,20194
periodcentered,periodcentered,195,20195
quotesinglbase,quotesinglbase,196,20196
quotedblbase,quotedblbase,197,20197
perthousand,perthousand,198,20198
Acircumflex,Acircumflex,199,20199
Ecircumflex,Ecircumflex,200,20200
Aacute,Aacute,201,20201
Edieresis,Edieresis,202,20202
Egrave,Egrave,203,20203
Iacute,Iacute,204,20204
Icircumflex,Icircumflex,205,20205
Idieresis,Idieresis,206,20206
Igrave,Igrave,207,20207
Oacute,Oacute,208,20208
Ocircumflex,Ocircumflex,209,20209
dottedCircle,uni25CC,210,20210
Ograve,Ograve,211,20211
Uacute,Uacute,212,20212
Ucircumflex,Ucircumflex,213,20213
Ugrave,Ugrave,214,20214
idotless,dotlessi,215,20215
circumflex,circumflex,216,20216
tilde,tilde,217,20217
macron,macron,218,20218
breve,breve,219,20219
dotaccent,dotaccent,220,20220
ring,ring,221,20221
cedilla,cedilla,222,20222
hungarumlaut,hungarumlaut,223,20223
ogonek,ogonek,224,20224
caron,caron,225,20225
aacute,aacute,105,20105
agrave,agrave,106,20106
acircumflex,acircumflex,107,20107
atilde,atilde,109,20109
adieresis,adieresis,108,20108
aring,aring,110,20110
euro,Euro,1260.1,21260.1
eth,eth,1340.1,21340.1
Eth,Eth,1350.72,21350.72
thorn,thorn,2500.8,22500.8
Thorn,Thorn,2570.1,22570.1
scaron,scaron,2800.334,22800.334
Scaron,Scaron,2850.334,22850.334
yacute,yacute,3400.311,23400.311
Yacute,Yacute,3450.311,23450.311
zcaron,zcaron,3500.334,23500.334
Zcaron,Zcaron,3550.334,23550.334
onesuperior,onesuperior,4010.3,24010.3
twosuperior,twosuperior,4020.3,24020.3
threesuperior,threesuperior,4030.3,24030.3
foursuperior,uni2074,4040.3,24040.3
onehalf,onehalf,4120.1,24120.1
onequarter,onequarter,4140.1,24140.1
threequarters,threequarters,4340.1,24340.1
hyphenationpoint,uni2027,5390.2,25390.2
bulletoperator,uni2219,5390.4,25390.4
brokenbar,brokenbar,5640.1,25640.1
hyphentwo,uni2010,5670.1,25670.1
nonbreakinghyphen,uni2011,5670.2,25670.2
softhyphen,uni00AD,5680.6,25680.6
figuredash,figuredash,5691.1,25691.1
horizontalbar,uni2015,5694.1,25694.1
minus,minus,5695.1,25695.1
multiply,multiply,6305.1,26305.1
divisionslash,uni2215,6395.1,26395.1
blank,blank,6785.2,26785.2
graphemejoinercomb,uni034F,9300.1,29300.1
VS1,uniFE00,9401.1,29401.1
VS2,uniFE01,9402.1,29402.1
VS3,uniFE02,9403.1,29403.1
VS4,uniFE03,9404.1,29404.1
VS5,uniFE04,9405.1,29405.1
VS6,uniFE05,9406.1,29406.1
VS7,uniFE06,9407.1,29407.1
VS8,uniFE07,9408.1,29408.1
VS9,uniFE08,9409.1,29409.1
VS10,uniFE09,9410.1,29410.1
VS11,uniFE0A,9411.1,29411.1
VS12,uniFE0B,9412.1,29412.1
VS13,uniFE0C,9413.1,29413.1
VS14,uniFE0D,9414.1,29414.1
VS15,uniFE0E,9415.1,29415.1
VS16,uniFE0F,9416.1,29416.1
wordjoiner,uni2060,9420.1,29420.1
zerowidthjoiner,uni200D,9421.1,29421.1
zeroWidthNoBreakSpace,uniFEFF,9422.1,29422.1
zerowidthnonjoiner,uni200C,9423.1,29423.1
zerowidthspace,uni200B,9424.1,29424.1
lineseparator,uni2028,9507.1,29507.1
objectReplacementCharacter,uniFFFC,9510.1,29510.1
paragraphseparator,uni2029,9511.1,29511.1
emquad,uni2001,9600.1,29600.1
emspace,uni2003,9601.1,29601.1
narrownbspace,uni202F,9602.1,29602.1
punctuationspace,uni2008,9604.1,29604.1
sixperemspace,uni2006,9605.1,29605.1
threeperemspace,uni2004,9607.1,29607.1
enquad,uni2000,9608.1,29608.1
enspace,uni2002,9609.1,29609.1
fourperemspace,uni2005,9610.1,29610.1
figurespace,uni2007,9611.1,29611.1
thinspace,uni2009,9612.1,29612.1
hairspace,uni200A,9613.1,29613.1
replacementCharacter,uniFFFD,9699.1,29699.1
FontBslnSideBrngMrkrLft,uniF130,9700.1,29700.1
FontBslnSideBrngMrkrRt,uniF131,9701.1,29701.1
